,station_id,station_na,lat,lon,neighborhood_id,FSA_code,da_id,cluster
253,7467,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,77,M5J,35204826.0,24
254,7461,High Park Amphitheatre,43.645653,-79.464366,87,M6S,35201312.0,17
255,7438,High Park Subway - SMART,43.65389,-79.4675,88,M6P,35201297.0,17
256,7414,Keele St / Annette St - SMART,43.66402,-79.46418,90,M6P,35201377.0,20
257,7458,Church St / Lombard St,43.651678,-79.375233,75,M5C,35204022.0,2
258,7441,Pacific Ave / Glenlake Ave - SMART,43.65716,-79.46478,88,M6P,35204013.0,17
259,7468,Front St / Simcoe St,43.6442,-79.38702,77,M5J,35204826.0,24
260,7430,Marilyn Bell Park Tennis Court,43.633537,-79.437461,85,M6S,35201466.0,19
261,7451,Western Battery Rd / Pirandello St - SMART,43.640075,-79.414156,82,M6K,35204871.0,28
262,7473,Adelaide St W / Strachan Ave,43.64325309,-79.4123047,82,M6J,35203163.0,28
263,7469,Wellington St W / York St,43.646734,-79.38301,76,M5H,35200855.0,24
264,7463,Adelaide St W / Brant St,43.6462574,-79.3973381,77,M5V,35204894.0,27
265,7471,Lake Shore Blvd W / Louisa St,43.61868,-79.48674,17,M8V,35204692.0,19
266,7462,Richmond St E / Yonge St,43.651838,-79.378743,75,M5C,35204022.0,2
267,7474,Clarence Square,43.64407,-79.3929,77,M5V,35204844.0,27
268,7436,Shaw St / Dupont St,43.67072,-79.42677,93,M6G,35200994.0,33
269,7412,King St W / Crawford St - SMART,43.6417852,-79.4131148,82,M6K,35204749.0,28
270,7475,Jarvis St / Richmond St E,43.652777,-79.372637,73,M5A,35204228.0,2
271,7465,Russell Hill Rd / St Clair Ave W,43.685569,-79.408019,96,M4V,35202880.0,10
272,7481,Westmount Ave / St Clair Ave W - SMART,43.678374,-79.441843,92,M6H,35201152.0,36
273,7491,D'Arcy St / Spadina Ave - SMART,43.654074,-79.398115,78,M5T,35200897.0,6
274,7466,Glendonwynne Ave / Bloor St W - SMART,43.65182,-79.47421,88,M6P,35201483.0,17
275,7489,Sumach St  / Queen St E,43.656638,-79.358749,73,M5A,35203176.0,14
276,7497,128 Sterling Ave - SMART,43.654004,-79.444792,83,M6P,35200952.0,21
